university	career	inscription_date	last_name	gender	age	postal_code	location	email
universidad nacional de villa maría	licenciatura en psicología	2020-12-18	lucas thomas	male	35	5741	13 de enero	mark72@gmail.com
universidad nacional de villa maría	diseño de imagen y sonido	2020-10-17	david richard	male	30	5372	nonogasta	katrinareyes@yahoo.com
universidad nacional de villa maría	licenciatura en artes	2020-10-06	tracy lee	female	27	3541	campo las puertas	penatoni@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias de la computación	2020-11-18	gina moore	female	35	7313	16 de julio	clarkkatherine@gmail.com
universidad nacional de villa maría	licenciatura en terapia ocupacional	2020-10-08	pamela trujillo	female	35	2506	correa	danalarson@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias de la educación	2020-10-18	brian webster	male	40	2732	4 de febrero	john47@hotmail.com
universidad nacional de villa maría	agronomía	2020-09-04	laurie powell	female	36	8308	villa manzano	rodney72@gmail.com
universidad nacional de villa maría	diseño industrial	2020-11-07	robert mosley	male	35	2909	estancias	zmoreno@gmail.com
universidad nacional de villa maría	técnico para bioterios	2020-09-07	brittney pennington	female	26	5521	los corredores	nicholas35@hotmail.com
universidad nacional de villa maría	licenciatura en kinesiología y fisiatría	2020-10-13	natalie montes	female	35	5734	la ribera	cruzmorgan@yahoo.com
universidad nacional de villa maría	ingeniería electrónica	2021-01-01	chad reeves	male	35	3465	arroyo casco	zrush@gmail.com
universidad nacional de villa maría	licenciatura en ciencias biológicas	2021-01-23	jon mitchell	male	35	2187	arteaga	karenperry@gmail.com
universidad nacional de villa maría	ciencias veterinarias	2020-12-11	nathaniel gonzalez	male	35	1870	avellaneda	jacobbecker@yahoo.com
universidad nacional de villa maría	actuario	2020-09-24	hannah sanders	female	27	2914	costa brava	amanda10@yahoo.com
universidad nacional de villa maría	bioquímica	2021-01-21	rodney sullivan	male	35	2147	san genaro norte	kathleencarter@hotmail.com
universidad nacional de villa maría	técnico para bioterios	2020-10-31	tanner campbell	male	47	2709	los indios	hoffmansherri@yahoo.com
universidad nacional de villa maría	licenciatura en musicoterapia	2021-01-19	haley mills	female	35	5759	calera argentina	jenniferpierce@yahoo.com
universidad nacional de villa maría	contador público	2020-12-27	sharon leon	female	35	3386	caraguatay	hmills@yahoo.com
universidad nacional de villa maría	arquitectura	2020-11-28	james combs	male	36	6346	pellegrini	leacholivia@gmail.com
universidad nacional de villa maría	licenciatura en ciencias biológicas	2020-11-16	alicia patton	female	19	4186	cañete	victorknight@yahoo.com
universidad nacional de villa maría	licenciatura en sociología	2021-01-26	andrea thompson	female	35	4655	cabreria	snorris@yahoo.com
universidad nacional de villa maría	licenciatura en ciencia política	2020-09-30	arthur cox	male	35	9053	aguada grande	patricia31@gmail.com
universidad nacional de villa maría	ingeniería mecánica	2020-12-31	amy ford	female	27	3583	isla tigre	bjackson@yahoo.com
universidad nacional de villa maría	farmacia	2020-10-03	austin conner	male	23	6323	algarrobo del aguila	batessierra@hotmail.com
universidad nacional de villa maría	diseño industrial	2020-11-21	samuel robinson	male	35	8142	colonia barga	sara99@gmail.com
universidad nacional de villa maría	licenciatura en kinesiología y fisiatría	2020-11-16	allison flores	female	35	1876	bernal este	carol12@yahoo.com
universidad nacional de villa maría	licenciatura en terapia ocupacional	2020-10-11	lindsey coleman	female	35	8364	chimpay	phillip39@hotmail.com
universidad nacional de villa maría	licenciatura en sociología	2020-12-21	edward willis	male	35	9121	aguada de las tejas	meganwhite@yahoo.com
universidad nacional de villa maría	licenciatura en ciencias biológicas	2020-09-06	rebecca morales	female	39	2142	campo medina	hdodson@gmail.com
universidad nacional de villa maría	licenciatura en ciencia política	2021-01-06	donna duran	female	35	7535	pontaut	rdunn@yahoo.com
universidad nacional de villa maría	licenciatura en relaciones del trabajo	2020-09-25	lacey barrera	female	35	6455	carlos tejedor	eric48@yahoo.com
universidad nacional de villa maría	licenciatura en ciencias de la educación	2020-12-25	sean cole	male	35	2301	bella italia	davidhernandez@hotmail.com
universidad nacional de villa maría	licenciatura en relaciones del trabajo	2020-10-14	heidi clark	female	35	6515	carlos maria naon	nbarker@hotmail.com
universidad nacional de villa maría	técnico para bioterios	2020-10-31	candace guerrero	female	35	8349	aguas de las mulas	williamsmelanie@hotmail.com
universidad nacional de villa maría	bioquímica	2020-10-26	travis porter	male	35	6009	san marcelo	osantos@hotmail.com
universidad nacional de villa maría	técnico para bioterios	2020-09-02	jordan perkins	female	27	4740	agua salada	marksosa@hotmail.com
universidad nacional de villa maría	licenciatura en ciencia política	2020-12-12	tracy chan	female	35	3403	aguirre cue	woodsdavid@yahoo.com
universidad nacional de villa maría	bioquímica	2020-10-04	sherri cox	female	36	6244	banderalo	gregorygreen@hotmail.com
universidad nacional de villa maría	bioquímica	2020-09-23	zachary glover	male	35	7009	iraola	ugarcia@gmail.com
universidad nacional de villa maría	diseño industrial	2021-01-04	amber harris	female	35	8363	colonia josefa	gjones@yahoo.com
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	2020-12-02	tiffany hartman	female	44	4128	el carmen	vporter@gmail.com
universidad nacional de villa maría	licenciatura en ciencias de la educación	2020-09-25	michael gomez	male	35	4159	alto el puesto	jacqueline00@yahoo.com
universidad nacional de villa maría	licenciatura en ciencias antropológicas	2020-11-10	kevin thomas	male	35	5261	agua del simbol	hdickson@yahoo.com
universidad nacional de villa maría	licenciatura en artes	2020-10-03	elizabeth kelly	female	31	1735	el durazno	patricia24@gmail.com
universidad nacional de villa maría	agronomía	2020-10-26	james berg	male	50	2760	colonia los tres usaris	deckerjoseph@yahoo.com
universidad nacional de villa maría	licenciatura en sociología	2020-10-28	holly miller	female	35	3003	colonia los zapallos	hjones@yahoo.com
universidad nacional de villa maría	licenciatura en gestión de agroalimentos	2020-09-06	robert rose	male	48	1659	campo de mayo	kyledeleon@hotmail.com
universidad nacional de villa maría	ciencias veterinarias	2021-01-25	heather byrd	female	35	8127	estela	mallory31@hotmail.com
universidad nacional de villa maría	licenciatura en psicología	2020-09-19	jacqueline mckinney	female	35	2324	colonia tacurales	nathan90@yahoo.com
universidad nacional de villa maría	licenciatura en producción de bioimagenes	2021-01-31	jessica jackson	female	35	2500	cañada de gomez	william24@gmail.com
universidad nacional de villa maría	ingeniería electrónica	2020-09-06	nicole wade dds	female	27	5590	adrian maturano	valerie89@hotmail.com
universidad nacional de villa maría	diseño de imagen y sonido	2020-11-12	joanne ramos	female	42	7620	balcarce	yherrera@hotmail.com
universidad nacional de villa maría	licenciatura en terapia ocupacional	2021-01-01	leslie mitchell	female	35	3201	camba paso	vchambers@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias biológicas	2020-12-23	samuel hart	male	35	2503	villa eloisa	everettcassidy@hotmail.com
universidad nacional de villa maría	licenciatura en ciencia política	2020-12-16	johnny mcclain	male	27	1735	el durazno	leah91@hotmail.com
universidad nacional de villa maría	ingeniería electrónica	2020-10-19	deborah jones dds	female	34	6734	rawson	qho@gmail.com
universidad nacional de villa maría	licenciatura en ciencias geológicas	2020-09-19	sean stevenson	male	25	3101	aldea brasilera	evanparsons@hotmail.com
universidad nacional de villa maría	licenciatura en artes	2020-09-21	jessica owens	female	35	8138	anzoategui	stephanieadkins@gmail.com
universidad nacional de villa maría	diseño industrial	2020-09-20	ashley allen	female	35	5573	colonia delfino	justin19@yahoo.com
universidad nacional de villa maría	ingeniería electrónica	2021-01-17	shannon hunt	female	35	6207	alta italia	brandonhoover@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias de la computación	2020-10-12	john rangel	male	35	8150	campo la lima	kevin70@gmail.com
universidad nacional de villa maría	licenciatura en musicoterapia	2020-11-08	sheila clark	female	35	9223	alto rio pico	wilcoxbrian@gmail.com
universidad nacional de villa maría	licenciatura en musicoterapia	2020-12-07	george johnston	male	35	1686	hurlingham	emmamorales@gmail.com
universidad nacional de villa maría	farmacia	2020-11-10	nathaniel turner	male	35	7103	faro san antonio	marilynsantiago@yahoo.com
universidad nacional de villa maría	agronomía	2020-11-24	ronald scott	male	35	2717	acevedo	barrrobert@hotmail.com
universidad nacional de villa maría	técnico para bioterios	2020-10-06	ashley mueller	female	36	7605	barrio chapadmalal	robin14@gmail.com
universidad nacional de villa maría	licenciatura en administración	2021-01-14	derrick diaz	male	35	3265	arroyo caraballo	shannon82@yahoo.com
universidad nacional de villa maría	ingeniería mecánica	2020-09-22	wendy willia	female	35	4630	aparzo	kimberlyhughes@hotmail.com
universidad nacional de villa maría	licenciatura en artes	2020-11-17	rebecca nguyen	female	35	2701	12 de agosto	donnaescobar@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias de la computación	2020-12-03	lori bailey	female	45	8514	laguna del barro	taylornatalie@yahoo.com
universidad nacional de villa maría	ingeniería electrónica	2020-12-08	john walker	male	35	6700	caminera lujan	diane10@gmail.com
universidad nacional de villa maría	licenciatura en kinesiología y fisiatría	2020-11-23	james aguilar	male	35	3453	ifran	dedwards@gmail.com
universidad nacional de villa maría	licenciatura en ciencias antropológicas	2020-09-26	david yang	male	28	7263	el chumbeau	pamela18@hotmail.com
universidad nacional de villa maría	técnico para bioterios	2020-12-05	sandra smith	female	35	6319	carro quemado	pfranco@hotmail.com
universidad nacional de villa maría	diseño de imagen y sonido	2020-09-04	beth brown	female	35	2747	coronel isleños	john47@gmail.com
universidad nacional de villa maría	licenciatura en relaciones del trabajo	2020-10-06	christopher willia	male	35	4434	anta	christy62@hotmail.com
universidad nacional de villa maría	diseño de imagen y sonido	2020-12-10	cynthia coleman	female	35	3332	capiovi	whitebrittany@hotmail.com
universidad nacional de villa maría	actuario	2020-12-28	andrew nelson	male	24	2854	dos hermanas	cmoore@hotmail.com
universidad nacional de villa maría	licenciatura en relaciones del trabajo	2020-12-24	nicholas davis	male	35	3029	colonia adolfo alsina	alishadavis@hotmail.com
universidad nacional de villa maría	licenciatura en musicoterapia	2020-11-01	william padilla	male	25	8200	colonia lia y allende	troy78@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias de la computación	2020-10-13	amy kelly	female	43	2535	el trebol	yanderson@yahoo.com
universidad nacional de villa maría	farmacia	2020-09-07	david mitchell	male	20	1913	atalaya	stacyjohnson@hotmail.com
universidad nacional de villa maría	diseño industrial	2020-10-01	nicholas maynard	male	35	3540	avanzada	lewisaaron@gmail.com
universidad nacional de villa maría	medicina	2020-10-07	james gilmore	male	22	5274	altillo del medio	brownmichael@gmail.com
universidad nacional de villa maría	licenciatura en psicología	2021-01-28	brian blake	male	25	3322	aparicio cue	hernandezrobert@gmail.com
universidad nacional de villa maría	licenciatura en terapia ocupacional	2021-01-27	george lynch	male	35	6383	campo moises seccion 1a	barbara54@hotmail.com
universidad nacional de villa maría	diseño de imagen y sonido	2020-10-27	linda torres	female	40	4111	aguada	christopher50@hotmail.com
universidad nacional de villa maría	licenciatura en relaciones del trabajo	2020-11-07	terri vasquez	female	35	5503	paso de los andes	jbenson@yahoo.com
universidad nacional de villa maría	licenciatura en gestión de agroalimentos	2021-01-22	jessica hall	female	35	2613	la morocha	troyscott@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias de la educación	2021-01-21	pamela price	female	35	9410	bahia lapataia	john58@yahoo.com
universidad nacional de villa maría	contador público	2020-09-23	carla henry	female	35	2121	perez	jesse47@hotmail.com
universidad nacional de villa maría	licenciatura en psicología	2020-09-23	john acosta	male	35	7305	antonio de los heros	xfranklin@yahoo.com
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	2020-12-15	jessica jensen	female	35	2148	campo castro	deleonmark@yahoo.com
universidad nacional de villa maría	agronomía	2020-12-26	tracy garcia dds	female	35	3114	aldea maria luisa	robertbarnes@gmail.com
universidad nacional de villa maría	licenciatura en administración	2020-10-24	william smith	male	35	6106	aaron castellanos	abigail36@hotmail.com
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	2020-09-19	james montgomery	male	27	4501	abra del trigo	davidlee@yahoo.com
universidad nacional de villa maría	licenciatura en artes	2020-10-23	thomas johnson	male	39	3332	capiovi	jonesdavid@gmail.com
universidad nacional de villa maría	licenciatura en gestión de agroalimentos	2020-09-25	anthony rodriguez	male	35	3315	caa yari	ymann@hotmail.com
universidad nacional de villa maría	diseño industrial	2020-11-24	randy hill	male	35	5721	agua seballe	kellyjohnston@yahoo.com
universidad nacional de villa maría	licenciatura en psicología	2020-10-01	samantha newman	female	35	3332	capiovi	rpatterson@hotmail.com
universidad nacional de villa maría	ciencias veterinarias	2020-10-07	amber hogan	female	35	9303	cañadon del toro	diazjames@yahoo.com
universidad nacional de villa maría	actuario	2020-11-15	jennifer ferrell	female	35	3481	angostura	pbrowning@yahoo.com
universidad nacional de villa maría	arquitectura	2021-01-24	lisa willis	female	35	2170	candelaria sud	robert62@yahoo.com
universidad nacional de villa maría	farmacia	2020-09-07	cassandra martinez	female	27	5595	cupiles	huffmankathryn@gmail.com
universidad nacional de villa maría	licenciatura en terapia ocupacional	2021-01-08	theresa johnston	female	35	9111	bahia bustamante	aedwards@yahoo.com
universidad nacional de villa maría	licenciatura en musicoterapia	2021-01-29	erin reed	female	35	5636	favelli	qclark@gmail.com
universidad nacional de villa maría	ingeniería en informática	2020-10-30	christopher mills	male	37	3017	bajo las tunas	yanderson@hotmail.com
universidad nacional de villa maría	licenciatura en musicoterapia	2020-10-22	andrew lee	male	35	8180	colonia dr gdor udaondo	jacob48@hotmail.com
universidad nacional de villa maría	licenciatura en gestión de agroalimentos	2020-10-16	hailey james	female	50	5555	puente del inca	allennatalie@yahoo.com
universidad nacional de villa maría	licenciatura en administración	2020-12-26	lindsey oconnor	female	35	6533	alfredo demarchi	wrightmelanie@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias geológicas	2021-01-04	ashley rocha dds	female	35	3705	10 de mayo	charles91@gmail.com
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	2020-11-02	angela mayer	female	35	5460	agua de la zorra	carolbullock@gmail.com
universidad nacional de villa maría	licenciatura en artes	2021-01-22	mary castro	female	35	1661	bella vista	lisa89@hotmail.com
universidad nacional de villa maría	licenciatura en gestión de agroalimentos	2020-11-03	andre mullins	male	35	3204	ayui parada	perezjohn@hotmail.com
universidad nacional de villa maría	farmacia	2020-12-08	holly willia	female	35	6005	estacion general arenales	jessica79@hotmail.com
universidad nacional de villa maría	licenciatura en psicología	2020-12-31	makayla lewis	female	50	5511	general gutierrez	rachelsmith@yahoo.com
universidad nacional de villa maría	licenciatura en psicología	2020-11-06	kelly warren	female	35	1884	berazategui	crystalrussell@hotmail.com
universidad nacional de villa maría	diseño industrial	2020-12-19	carol clark	female	35	2740	almacen la colina	joseph09@gmail.com
universidad nacional de villa maría	arquitectura	2020-10-18	daniel wilkinson jr	male	40	1657	11 de septiembre	orrbrittany@hotmail.com
universidad nacional de villa maría	arquitectura	2020-09-15	patricia may	female	35	2643	cafferata	doughertykatherine@hotmail.com
universidad nacional de villa maría	actuario	2020-10-10	eric fleming	male	19	8180	colonia dr gdor udaondo	tyrone85@yahoo.com
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	2020-11-09	andrea smith	female	35	3005	colonia california	jamesbaker@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias geológicas	2021-01-12	s ashley martin	female	35	3190	arroyo hondo	robertsteresa@yahoo.com
universidad nacional de villa maría	técnico para bioterios	2020-11-01	alan charles	male	35	5511	general gutierrez	ksmall@yahoo.com
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	2021-01-31	emily miller	female	21	3016	san jose	annfoster@gmail.com
universidad nacional de villa maría	contador público	2021-01-04	william barber	male	29	2255	campo rodriguez	ralph79@yahoo.com
universidad nacional de villa maría	medicina	2020-11-17	andrea neal	female	35	8300	las perlas	rachel06@gmail.com
universidad nacional de villa maría	licenciatura en producción de bioimagenes	2021-01-16	christopher conrad	male	48	5592	el carbalino	alexandria20@hotmail.com
universidad nacional de villa maría	técnico para bioterios	2020-09-05	debra schultz	female	43	5311	arauco	isabelgarrison@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias geológicas	2020-11-25	ryan stewart	male	35	7243	antonio carboni	terri15@hotmail.com
universidad nacional de villa maría	agronomía	2020-12-14	richard smith	male	35	7150	ayacucho	xsmith@hotmail.com
universidad nacional de villa maría	arquitectura	2021-01-29	devin vaughn	male	35	7607	balneario atlantida	ghowell@yahoo.com
universidad nacional de villa maría	licenciatura en ciencias de la computación	2020-09-13	kyle miller	male	35	2946	el espinillo	brayrenee@gmail.com
universidad nacional de villa maría	licenciatura en producción de bioimagenes	2020-11-23	crystal bean	female	35	3009	el tropezon	mwilliams@gmail.com
universidad nacional de villa maría	medicina	2021-01-24	eric coleman	male	35	2301	bella italia	jacqueline28@yahoo.com
universidad nacional de villa maría	licenciatura en psicología	2020-09-12	james hall	male	35	7535	pontaut	archerrachel@hotmail.com
universidad nacional de villa maría	ingeniería electrónica	2020-10-25	stephanie ferguson	female	38	9400	an aike	hannakathleen@yahoo.com
universidad nacional de villa maría	diseño industrial	2020-09-06	bryan cantrell	male	35	3197	abra guazu	chancindy@gmail.com
universidad nacional de villa maría	diseño industrial	2021-02-01	daniel smith	male	35	1802	aeropuerto ezeiza	alison95@yahoo.com
universidad nacional de villa maría	ingeniería mecánica	2020-10-14	susan bennett	female	35	2303	angelica	robertsseth@hotmail.com
universidad nacional de villa maría	ingeniería mecánica	2020-11-15	joel hanson	male	35	9213	cañadon caliente	pittmandavid@hotmail.com
universidad nacional de villa maría	actuario	2020-11-09	jamie rubio	female	35	3229	colonia freitas	zramos@yahoo.com
universidad nacional de villa maría	contador público	2020-09-01	joseph reilly	male	35	3032	nelson	davidgross@gmail.com
universidad nacional de villa maría	diseño de imagen y sonido	2020-10-24	christopher cook	male	39	8154	calvo	chill@gmail.com
universidad nacional de villa maría	licenciatura en relaciones del trabajo	2020-10-11	brian collins	male	21	1929	base naval rio santiago	colemanjennifer@hotmail.com
universidad nacional de villa maría	licenciatura en ciencia y tecnología de alimentos	2021-01-13	david delgado	male	22	2309	colonia reina margarita	briannachen@yahoo.com
universidad nacional de villa maría	licenciatura en administración	2020-09-19	danielle casey	female	35	3386	caraguatay	carpenterdiana@gmail.com
universidad nacional de villa maría	licenciatura en ciencias geológicas	2020-09-02	heather johnson	female	35	6401	sundblad	comptonkara@gmail.com
universidad nacional de villa maría	diseño de imagen y sonido	2020-11-14	taylor morrow	female	28	2242	arijon	alan42@hotmail.com
universidad nacional de villa maría	licenciatura en relaciones del trabajo	2020-11-03	rachel martinez	female	29	3405	algarrobal puisoye	montgomeryaustin@hotmail.com
universidad nacional de villa maría	licenciatura en kinesiología y fisiatría	2020-09-17	jill nelson	female	35	7639	cooper	hoffmanbrandon@hotmail.com
universidad nacional de villa maría	licenciatura en psicología	2020-11-13	brianna sanchez	female	35	5703	6 de septiembre	ghall@gmail.com
universidad nacional de villa maría	contador público	2021-01-15	jonathan harris	male	32	3374	el porvenir	abutler@hotmail.com
universidad nacional de villa maría	ingeniería en informática	2020-11-26	beth ray	female	40	3530	aldea forestal	mwilliams@yahoo.com
universidad nacional de villa maría	licenciatura en ciencias ambientales	2020-09-27	nancy edwards	female	35	9223	alto rio pico	greg08@gmail.com
universidad nacional de villa maría	ingeniería mecánica	2020-09-08	james brady	male	27	5730	20 de febrero	jason40@yahoo.com
universidad nacional de villa maría	diseño industrial	2020-12-22	rachel cunningham	female	19	5345	baños termales	janice55@gmail.com
universidad nacional de villa maría	licenciatura en ciencias de la computación	2020-09-10	margaret evans	female	35	2805	arroyo aleli	coleeric@hotmail.com
universidad nacional de villa maría	licenciatura en kinesiología y fisiatría	2020-09-25	mark king	male	20	4513	alto calilegua	mariagordon@gmail.com
universidad nacional de villa maría	actuario	2021-01-30	robert johnson	male	35	3409	arroyo san juan	thomascarolyn@gmail.com
universidad nacional de villa maría	técnico para bioterios	2021-01-26	kimberly willia	female	35	1704	ramos mejia	ujordan@gmail.com
universidad nacional de villa maría	actuario	2020-11-08	christopher ray	male	35	3574	capilla guadalupe norte	richard75@yahoo.com
universidad nacional de villa maría	licenciatura en ciencias ambientales	2021-01-31	kathy lopez	female	35	2824	britos	bcarpenter@gmail.com
universidad nacional de villa maría	licenciatura en ciencia política	2020-12-31	anthony martin	male	35	1778	ciudad evita	mikeshelton@gmail.com
universidad nacional de villa maría	actuario	2020-10-12	rodney burnett	male	35	5331	andalucia	courtney16@hotmail.com
universidad nacional de villa maría	ingeniería mecánica	2020-12-05	justin arnold	male	35	4500	alto del saladillo	natashamaxwell@gmail.com
universidad nacional de villa maría	licenciatura en ciencias biológicas	2021-01-12	calvin bradshaw	male	35	5611	agua rica	boydjason@gmail.com
universidad nacional de villa maría	licenciatura en ciencias geológicas	2020-10-09	amanda fitzpatrick	female	47	6326	anguil	eryan@hotmail.com
universidad nacional de villa maría	ingeniería en informática	2020-11-18	michael graves	male	35	9200	arroyo pescado	kruegerrobert@hotmail.com
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	2020-10-08	kenneth fernandez	male	35	6345	la bilbaina	stewartmelissa@gmail.com
universidad nacional de villa maría	diseño industrial	2021-01-24	bryan colon	male	35	5306	carrizal	emilypotter@gmail.com
universidad nacional de villa maría	licenciatura en ciencias de la educación	2020-10-31	brandon clayton	male	32	8512	igarzabal	troymccullough@gmail.com
