Id	university	career	inscription_date	first_name	last_name	gender	age	location	email	postal_code
16	universidad abierta interamericana	licenciatura en gestión de agroalimentos	2020-12-11	lisa	green	female	81	el durazno	hudsonbrianna@gmail.com	1735
1493	universidad abierta interamericana	diseño industrial	2020-10-13	felicia	washington	female	90	el durazno	jennifer06@hotmail.com	1735
17	universidad abierta interamericana	licenciatura en ciencias antropológicas	2021-01-24	david	chung	male	38	alarcon	johnsonbrandon@hotmail.com	2852
1686	universidad abierta interamericana	arquitectura	2020-12-03	jeremy	smith	male	77	alarcon	bwright@gmail.com	2852
18	universidad abierta interamericana	licenciatura en ciencias geológicas	2020-09-30	jennifer	ramirez	female	100	colonia baron	woodangelica@hotmail.com	6315
342	universidad abierta interamericana	licenciatura en planificación y diseño del paisaje	2021-01-31	gwendolyn	allen	female	21	colonia baron	emily98@yahoo.com	6315
539	universidad abierta interamericana	técnico para bioterios	2020-11-20	phillip	gutierrez	male	44	colonia baron	palmertiffany@yahoo.com	6315
706	universidad abierta interamericana	licenciatura en administración	2020-10-24	amy	hall	female	60	colonia baron	heather37@yahoo.com	6315
19	universidad abierta interamericana	licenciatura en ciencia y tecnología de alimentos	2020-11-28	jose	white	male	64	planchada banderita	jenniferbrown@yahoo.com	3370
854	universidad abierta interamericana	licenciatura en ciencia política	2021-01-22	robert	weaver	male	61	planchada banderita	melanie43@gmail.com	3370
20	universidad abierta interamericana	licenciatura en ciencias ambientales	2020-12-29	w	espinoza	male	29	britos	jmiller@gmail.com	2824
795	universidad abierta interamericana	licenciatura en ciencia y tecnología de alimentos	2020-12-30	maria	smith	female	96	britos	jennasawyer@yahoo.com	2824
1588	universidad abierta interamericana	ciencias veterinarias	2020-12-17	paul	cole	male	59	britos	nicholasvazquez@gmail.com	2824
1865	universidad abierta interamericana	licenciatura en ciencia política	2020-11-07	megan	sanchez	female	35	britos	qherring@yahoo.com	2824
21	universidad abierta interamericana	licenciatura en producción de bioimagenes	2021-01-01	dale	smith	male	89	alumine	michaeljohnson@gmail.com	8345
23	universidad abierta interamericana	licenciatura en administración	2020-10-29	julie	vargas	female	58	bathurst estacion	iochoa@yahoo.com	7540
26	universidad abierta interamericana	licenciatura en ciencias geológicas	2020-09-16	katie	williams	female	28	el bombero	michaelthomas@hotmail.com	7507
28	universidad abierta interamericana	licenciatura en ciencias antropológicas	2020-12-28	cynthia	riley	female	69	masurel	erica19@gmail.com	6438
1620	universidad abierta interamericana	ingeniería en informática	2020-09-10	christopher	wilkinson ii	male	51	masurel	stevensimon@yahoo.com	6438
29	universidad abierta interamericana	farmacia	2020-10-13	daniel	knight	male	59	arroyo balmaceda	darrylhogan@gmail.com	3483
145	universidad abierta interamericana	licenciatura en kinesiología y fisiatría	2020-11-13	caleb	gray	male	45	arroyo balmaceda	mgarcia@yahoo.com	3483
1128	universidad abierta interamericana	licenciatura en ciencias antropológicas	2020-10-24	james	schroeder	male	84	arroyo balmaceda	teresa31@yahoo.com	3483
30	universidad abierta interamericana	farmacia	2020-12-15	melanie	fox	female	61	colonia duran	hhays@yahoo.com	3553
31	universidad abierta interamericana	licenciatura en musicoterapia	2020-12-15	brenda	schultz	female	78	calilegua	gwhite@gmail.com	4514
35	universidad abierta interamericana	actuario	2020-09-16	kristina	williams	female	99	ascencion	stephanie11@gmail.com	6003
201	universidad abierta interamericana	licenciatura en ciencias de la educación	2020-11-26	kathryn	humphrey	female	76	ascencion	qhardy@hotmail.com	6003
683	universidad abierta interamericana	licenciatura en terapia ocupacional	2021-01-09	cody	osborne	male	18	ascencion	patricia81@gmail.com	6003
36	universidad abierta interamericana	actuario	2020-10-03	steven	smith	male	72	ceres	jose07@hotmail.com	2340
485	universidad abierta interamericana	contador público	2020-10-03	laura	garcia	female	20	ceres	christinalarson@gmail.com	2340
37	universidad abierta interamericana	licenciatura en ciencia política	2020-11-24	angela	davis	female	44	villa santos tesei	terrimadden@gmail.com	1688
63	universidad abierta interamericana	ciencias veterinarias	2020-09-04	samuel	chaney	male	45	villa santos tesei	velliott@gmail.com	1688
596	universidad abierta interamericana	bioquímica	2020-12-16	bethany	johnson	female	25	villa santos tesei	brandon33@hotmail.com	1688
1147	universidad abierta interamericana	licenciatura en gestión de agroalimentos	2020-10-19	karen	frost	female	30	villa santos tesei	palmerlouis@hotmail.com	1688
1747	universidad abierta interamericana	diseño de imagen y sonido	2020-10-04	patrick	edwards	male	50	villa santos tesei	brettmoore@gmail.com	1688
38	universidad abierta interamericana	diseño industrial	2020-10-02	tracy	mclean	female	31	alabama	brownjames@gmail.com	4117
39	universidad abierta interamericana	licenciatura en ciencias geológicas	2020-09-05	edgar	leach	male	25	agua de castilla	michael26@gmail.com	4651
524	universidad abierta interamericana	licenciatura en planificación y diseño del paisaje	2020-11-17	angelica	alvarado	female	50	agua de castilla	williamsvanessa@yahoo.com	4651
40	universidad abierta interamericana	bioquímica	2020-12-16	katherine	vega	female	65	el lenguaraz	sarah28@yahoo.com	7635
41	universidad abierta interamericana	diseño de imagen y sonido	2020-12-20	joshua	wheeler	male	45	berabevu	fgarza@yahoo.com	2639
42	universidad abierta interamericana	agronomía	2021-01-23	stephanie	johnson	female	99	igarzabal	hilldanielle@yahoo.com	8512
45	universidad abierta interamericana	ingeniería electrónica	2020-09-10	morgan	solomon	female	74	17 de agosto	lawrence30@gmail.com	8129
439	universidad abierta interamericana	licenciatura en ciencia y tecnología de alimentos	2020-09-06	steven	lee	male	83	17 de agosto	thomassanchez@gmail.com	8129
525	universidad abierta interamericana	licenciatura en ciencias de la computación	2020-10-01	ann	allen	female	44	17 de agosto	marybrown@yahoo.com	8129
46	universidad abierta interamericana	licenciatura en ciencias de la computación	2020-09-28	riley	williams	male	81	carrizal norte	johnnythompson@gmail.com	3433
47	universidad abierta interamericana	ingeniería en informática	2020-09-25	timothy	williams	male	35	adan quiroga	reneemorton@gmail.com	5409
48	universidad abierta interamericana	licenciatura en terapia ocupacional	2020-10-03	paul	howard	male	45	condarco	theresahooper@yahoo.com	6233
49	universidad abierta interamericana	licenciatura en gestión de agroalimentos	2021-01-10	andrea	rose	female	35	est jauregui va flandria	mendezdonald@hotmail.com	6706
675	universidad abierta interamericana	ingeniería en informática	2021-01-16	eric	delacruz	male	76	est jauregui va flandria	haleybyrd@gmail.com	6706
1057	universidad abierta interamericana	farmacia	2020-09-06	brian	schwartz	male	33	est jauregui va flandria	graylisa@yahoo.com	6706
1296	universidad abierta interamericana	diseño de imagen y sonido	2021-01-21	jamie	turner	female	76	est jauregui va flandria	cory49@yahoo.com	6706
52	universidad abierta interamericana	licenciatura en sociología	2020-11-17	terri	hensley	female	34	arijon	eflores@hotmail.com	2242
53	universidad abierta interamericana	licenciatura en ciencias ambientales	2021-01-18	linda	fitzgerald	female	72	destileria fiscal	jennifer86@hotmail.com	1925
54	universidad abierta interamericana	licenciatura en planificación y diseño del paisaje	2021-01-11	alicia	hill	female	45	carlos pellegrini	fdavis@gmail.com	2453
56	universidad abierta interamericana	licenciatura en administración	2020-11-23	arthur	andrews	male	77	amuschina	wallersandra@yahoo.com	5329
527	universidad abierta interamericana	ingeniería mecánica	2020-11-26	amber	hamilton	female	39	amuschina	gregoryhughes@hotmail.com	5329
57	universidad abierta interamericana	licenciatura en kinesiología y fisiatría	2020-12-30	amanda	foster	female	54	calchaqui	rward@gmail.com	3050
58	universidad abierta interamericana	licenciatura en ciencias antropológicas	2020-10-16	robert	leonard	male	67	villa olivari	gonzalezlisa@yahoo.com	3486
59	universidad abierta interamericana	diseño de imagen y sonido	2021-01-09	diana	elliott	female	43	colonia barga	marysmith@gmail.com	8142
60	universidad abierta interamericana	licenciatura en musicoterapia	2021-01-02	anthony	romero	male	63	valle hondo	heatherwalters@gmail.com	9221
1654	universidad abierta interamericana	licenciatura en ciencias ambientales	2020-09-07	thomas	welch	male	64	valle hondo	philip65@hotmail.com	9221
61	universidad abierta interamericana	licenciatura en administración	2021-01-24	sonya	sandoval	female	54	colonia tacurales	leejohn@gmail.com	2324
62	universidad abierta interamericana	licenciatura en ciencia y tecnología de alimentos	2020-10-16	jeffrey	suarez	male	58	alto de sierra	paulacasey@hotmail.com	5438
64	universidad abierta interamericana	agronomía	2021-01-24	gregory	young	male	75	berraondo	johnsontracy@hotmail.com	8124
66	universidad abierta interamericana	ingeniería electrónica	2021-01-16	ralph	owen jr.	male	58	arturo segui	dthomas@hotmail.com	1895
1000	universidad abierta interamericana	agronomía	2020-10-30	robert	miller	male	50	arturo segui	vhorton@gmail.com	1895
67	universidad abierta interamericana	ingeniería mecánica	2020-09-10	christy	knight	female	90	kilometro 112	natalie64@gmail.com	7240
661	universidad abierta interamericana	licenciatura en kinesiología y fisiatría	2020-11-18	scott	brooks	male	86	kilometro 112	benjaminelliott@yahoo.com	7240
935	universidad abierta interamericana	farmacia	2021-01-08	megan	evans	female	60	kilometro 112	qwinters@gmail.com	7240
68	universidad abierta interamericana	diseño industrial	2020-10-20	sean	lindsey	male	60	balneario los angeles	mmiles@hotmail.com	7641
73	universidad abierta interamericana	licenciatura en ciencia y tecnología de alimentos	2020-11-19	jonathan	butler	male	36	banfield	joseph05@yahoo.com	1828
74	universidad abierta interamericana	contador público	2020-11-29	ashley	mooney	female	44	aldea maria luisa	gentryandrew@yahoo.com	3114
98	universidad abierta interamericana	farmacia	2020-11-01	rebecca	gilbert	female	76	aldea maria luisa	juan94@hotmail.com	3114
75	universidad abierta interamericana	licenciatura en ciencia y tecnología de alimentos	2020-10-06	julia	aguilar	female	81	alegre	hudsonjorge@gmail.com	1987
652	universidad abierta interamericana	licenciatura en ciencias de la computación	2020-09-05	edwin	long	male	33	alegre	timothyjohnson@gmail.com	1987
76	universidad abierta interamericana	licenciatura en musicoterapia	2021-01-04	rachel	bautista	female	18	el carbalino	mwoodard@hotmail.com	5592
945	universidad abierta interamericana	licenciatura en gestión de agroalimentos	2021-01-11	pamela	jones	female	98	el carbalino	howardheather@gmail.com	5592
77	universidad abierta interamericana	farmacia	2020-09-06	danielle	porter	female	94	amambay	ylynch@hotmail.com	3718
445	universidad abierta interamericana	licenciatura en ciencias antropológicas	2020-09-28	william	bennett	male	34	amambay	jay08@hotmail.com	3718
78	universidad abierta interamericana	ciencias veterinarias	2021-01-30	robert	schneider	male	26	el hoyo	brownmeghan@yahoo.com	8431
79	universidad abierta interamericana	licenciatura en ciencia política	2020-09-22	christopher	burke	male	34	cañada la negra	nichole90@hotmail.com	5881
80	universidad abierta interamericana	licenciatura en relaciones del trabajo	2020-10-03	michael	schultz	male	65	agua blanca	stephaniewells@yahoo.com	5471
1622	universidad abierta interamericana	licenciatura en psicología	2020-12-16	daniel	pratt	male	69	agua blanca	shawn98@gmail.com	5471
81	universidad abierta interamericana	licenciatura en musicoterapia	2020-11-17	jocelyn	davis	female	41	martin coronado	zcombs@yahoo.com	1682
82	universidad abierta interamericana	técnico para bioterios	2021-01-18	susan	gardner	female	96	alfredo peña	hadams@yahoo.com	6333
83	universidad abierta interamericana	licenciatura en ciencias biológicas	2021-01-17	terrence	savage	male	50	acheral	denise94@yahoo.com	5260
1725	universidad abierta interamericana	ingeniería en informática	2020-10-31	debbie	weaver	female	73	acheral	hcalderon@hotmail.com	5260
84	universidad abierta interamericana	arquitectura	2020-10-12	benjamin	lewis	male	27	gobernador moyano	williamdixon@hotmail.com	9050
428	universidad abierta interamericana	licenciatura en ciencias antropológicas	2020-12-11	mark	cline	male	38	gobernador moyano	cwhite@gmail.com	9050
85	universidad abierta interamericana	licenciatura en ciencias antropológicas	2020-10-09	andrew	torres	male	70	aldea beleiro	sarah53@hotmail.com	9037
379	universidad abierta interamericana	diseño industrial	2020-11-21	cindy	camacho	female	77	aldea beleiro	harrisjohn@yahoo.com	9037
1492	universidad abierta interamericana	contador público	2020-12-04	trevor	dean	male	25	aldea beleiro	laurenpierce@yahoo.com	9037
1634	universidad abierta interamericana	licenciatura en ciencias de la educación	2021-01-08	christopher	campos	male	61	aldea beleiro	allen75@gmail.com	9037
86	universidad abierta interamericana	diseño de imagen y sonido	2020-10-23	pamela	irwin	female	78	d orbigny	angeladickerson@gmail.com	7541
89	universidad abierta interamericana	arquitectura	2020-09-09	travis	weiss	male	39	alpasinche	jeremycarter@yahoo.com	5325
90	universidad abierta interamericana	agronomía	2020-09-12	christina	roberts	female	39	san fernando	dakotawilson@hotmail.com	1646
1372	universidad abierta interamericana	diseño de imagen y sonido	2020-09-10	jessica	chandler	female	45	san fernando	sarahspencer@hotmail.com	1646
91	universidad abierta interamericana	licenciatura en ciencias ambientales	2020-11-14	nicole	brown	female	84	el tropezon	tiffanyadkins@yahoo.com	3009
93	universidad abierta interamericana	licenciatura en ciencia política	2021-01-03	lori	wheeler	female	96	lomas de zamora	hknight@yahoo.com	1832
95	universidad abierta interamericana	ciencias veterinarias	2021-01-08	erin	cross	female	61	barrio emir ramon juarez	ccunningham@gmail.com	7600
356	universidad abierta interamericana	diseño industrial	2020-09-08	julie	adams	female	40	barrio emir ramon juarez	laurenvilla@yahoo.com	7600
96	universidad abierta interamericana	licenciatura en producción de bioimagenes	2020-12-15	juan	gonzalez	male	71	bigand	gcarlson@yahoo.com	2177
731	universidad abierta interamericana	licenciatura en terapia ocupacional	2021-01-02	jaclyn	garcia	female	55	bigand	zrichard@gmail.com	2177
1489	universidad abierta interamericana	diseño industrial	2020-12-06	keith	martinez	male	22	bigand	marcia13@gmail.com	2177
101	universidad abierta interamericana	contador público	2020-09-14	katie	lowe	female	19	ingeniero adolfo sourdeaux	rebecca30@hotmail.com	1612
1170	universidad abierta interamericana	contador público	2020-11-07	stephanie	hammond	female	24	ingeniero adolfo sourdeaux	bobbybeltran@hotmail.com	1612
102	universidad abierta interamericana	licenciatura en relaciones del trabajo	2020-09-08	aaron	pope	male	30	aconquija	stewartlindsey@gmail.com	4743
1568	universidad abierta interamericana	agronomía	2020-11-02	robert	weber	male	21	aconquija	loganmorales@gmail.com	4743
103	universidad abierta interamericana	actuario	2020-10-21	patricia	bailey	female	95	granadero baigorria	uaguirre@hotmail.com	2152
818	universidad abierta interamericana	licenciatura en gestión de agroalimentos	2021-01-18	shelby	anderson	female	74	granadero baigorria	ntaylor@gmail.com	2152
1272	universidad abierta interamericana	licenciatura en ciencia y tecnología de alimentos	2021-01-27	aaron	mcdonald	male	95	granadero baigorria	jilliancoleman@gmail.com	2152
105	universidad abierta interamericana	agronomía	2020-10-26	kayla	orozco	female	43	santa teresita	robertoconnor@hotmail.com	7107
1787	universidad abierta interamericana	licenciatura en ciencias geológicas	2020-10-11	michael	shea	male	86	santa teresita	vmartinez@gmail.com	7107
106	universidad abierta interamericana	licenciatura en ciencias de la educación	2021-01-14	richard	garcia	male	19	la legua	mary69@gmail.com	5411
1763	universidad abierta interamericana	arquitectura	2020-09-18	john	brown	male	84	la legua	michael09@yahoo.com	5411
107	universidad abierta interamericana	ingeniería electrónica	2020-10-30	matthew	obrien	male	51	arbuco	isaac40@gmail.com	1915
108	universidad abierta interamericana	ingeniería mecánica	2021-01-01	sandra	smith	female	60	cabaña el cisne	mikepope@gmail.com	2322
109	universidad abierta interamericana	licenciatura en kinesiología y fisiatría	2021-01-14	katie	green	female	27	abralaite	starklynn@gmail.com	4634
110	universidad abierta interamericana	ingeniería mecánica	2020-11-16	breanna	rollins	female	25	haras san jacinto	leestacy@hotmail.com	2705
376	universidad abierta interamericana	ciencias veterinarias	2020-10-05	victor	fuentes	male	73	haras san jacinto	eric05@hotmail.com	2705
1501	universidad abierta interamericana	arquitectura	2020-11-26	michael	paul	male	88	haras san jacinto	krogers@hotmail.com	2705
112	universidad abierta interamericana	ciencias veterinarias	2020-10-24	daniel	stone	male	32	colonia devoto	nixonsergio@hotmail.com	6325
554	universidad abierta interamericana	licenciatura en ciencia y tecnología de alimentos	2020-11-08	allison	hughes	female	45	colonia devoto	flopez@hotmail.com	6325
1675	universidad abierta interamericana	licenciatura en ciencias biológicas	2020-12-05	todd	lin	male	58	colonia devoto	whitemarilyn@yahoo.com	6325
114	universidad abierta interamericana	licenciatura en relaciones del trabajo	2020-12-05	ashley	matthews	female	47	asuncion	zparker@hotmail.com	5535
1440	universidad abierta interamericana	licenciatura en ciencias ambientales	2020-09-20	joseph	harris	male	29	asuncion	brittney56@gmail.com	5535
115	universidad abierta interamericana	licenciatura en ciencias antropológicas	2020-12-15	derek	dougherty	male	31	faro querandi	barkerelizabeth@gmail.com	7165
1217	universidad abierta interamericana	actuario	2020-10-29	javier	johnson	male	49	faro querandi	russell78@hotmail.com	7165
1624	universidad abierta interamericana	licenciatura en ciencia y tecnología de alimentos	2021-01-13	peter	hamilton	male	44	faro querandi	christina23@hotmail.com	7165
116	universidad abierta interamericana	ingeniería mecánica	2020-10-29	anna	richardson	female	19	claverie	armstrongwendy@gmail.com	7163
195	universidad abierta interamericana	licenciatura en producción de bioimagenes	2020-11-01	joseph	henry	male	57	claverie	fordjessica@hotmail.com	7163
117	universidad abierta interamericana	licenciatura en ciencias de la educación	2020-09-16	kyle	sosa	male	41	sey	megan71@hotmail.com	4411
118	universidad abierta interamericana	licenciatura en ciencias geológicas	2020-10-23	donna	glenn	female	80	bosques	stephen50@gmail.com	1889
592	universidad abierta interamericana	licenciatura en artes	2020-09-14	erica	kim	female	49	bosques	vdecker@hotmail.com	1889
119	universidad abierta interamericana	arquitectura	2021-01-11	suzanne	watts	female	29	28 de noviembre	hortonmatthew@gmail.com	9407
1687	universidad abierta interamericana	licenciatura en kinesiología y fisiatría	2020-12-21	john	casey	male	32	28 de noviembre	halejames@gmail.com	9407
120	universidad abierta interamericana	licenciatura en psicología	2020-09-10	colin	west	male	92	colonia nueva montevideo	martinezjessica@yahoo.com	2828
121	universidad abierta interamericana	ingeniería mecánica	2020-09-12	keith	price	male	19	alizal	wilsonkimberly@yahoo.com	4122
258	universidad abierta interamericana	técnico para bioterios	2020-10-31	kendra	drake	female	69	alizal	nicholassnyder@hotmail.com	4122
122	universidad abierta interamericana	licenciatura en administración	2021-01-18	erica	clark	female	74	alpatacal	bgilbert@gmail.com	5591
682	universidad abierta interamericana	licenciatura en terapia ocupacional	2020-11-11	riley	sawyer	male	76	alpatacal	john80@yahoo.com	5591
123	universidad abierta interamericana	diseño industrial	2020-10-18	gina	miller	female	40	san bernardo del tuyu	greyes@gmail.com	7111
124	universidad abierta interamericana	licenciatura en ciencias antropológicas	2020-12-28	jennifer	nichols	female	75	alto del saladillo	gregory99@yahoo.com	4522
125	universidad abierta interamericana	licenciatura en administración	2020-09-06	kathleen	acevedo	female	29	colonia santa rosa	stephanie82@yahoo.com	1816
127	universidad abierta interamericana	licenciatura en producción de bioimagenes	2020-09-16	spencer	davidson	male	23	alijilan	april62@hotmail.com	4723
196	universidad abierta interamericana	arquitectura	2020-12-24	richard	johnson	male	44	alijilan	pamelaallen@gmail.com	4723
353	universidad abierta interamericana	licenciatura en sociología	2020-12-14	laura	bates	female	52	alijilan	richardmills@hotmail.com	4723
128	universidad abierta interamericana	licenciatura en artes	2020-09-16	philip	watkins	male	75	9 de julio	pkirk@gmail.com	6500
934	universidad abierta interamericana	licenciatura en musicoterapia	2020-12-19	lisa	johnson	female	42	9 de julio	juliearcher@yahoo.com	6500
129	universidad abierta interamericana	arquitectura	2021-01-23	debra	morris	female	91	agua cercada	lbrown@yahoo.com	5447
132	universidad abierta interamericana	licenciatura en planificación y diseño del paisaje	2021-01-12	jeffery	phillips	male	79	estacion yerua	jonathan88@yahoo.com	3214
1577	universidad abierta interamericana	licenciatura en ciencias de la educación	2020-09-26	belinda	ballard	female	91	estacion yerua	martinwebb@gmail.com	3214
133	universidad abierta interamericana	ciencias veterinarias	2020-10-29	david	white	male	54	anguinan	larry50@hotmail.com	5363
134	universidad abierta interamericana	licenciatura en producción de bioimagenes	2020-09-29	robert	martin	male	32	acassuso	thomascastillo@yahoo.com	1640
654	universidad abierta interamericana	medicina	2020-09-03	john	williams	male	37	acassuso	andersonpenny@gmail.com	1640
1320	universidad abierta interamericana	licenciatura en gestión de agroalimentos	2021-01-05	antonio	choi	male	47	acassuso	amy01@hotmail.com	1640
135	universidad abierta interamericana	licenciatura en sociología	2020-09-30	sherry	hernandez	female	69	el talar	lchavez@hotmail.com	1617
260	universidad abierta interamericana	licenciatura en ciencias geológicas	2020-09-25	michael	sawyer	male	98	el talar	pamelaroberts@gmail.com	1617
771	universidad abierta interamericana	licenciatura en psicología	2020-09-29	michael	ford	male	20	el talar	richard88@yahoo.com	1617
809	universidad abierta interamericana	licenciatura en ciencias de la educación	2020-12-24	andre	mueller	male	49	el talar	michael71@gmail.com	1617
136	universidad abierta interamericana	actuario	2020-12-05	monica	larsen	female	20	chelforo	shelleyjordan@yahoo.com	8366
864	universidad abierta interamericana	licenciatura en administración	2020-10-04	gabrielle	morris	female	77	chelforo	maystephen@hotmail.com	8366
137	universidad abierta interamericana	licenciatura en administración	2020-12-06	michael	jones	male	92	candelaria sud	fgeorge@yahoo.com	2170
138	universidad abierta interamericana	arquitectura	2021-01-13	makayla	bray	female	31	colonia valdez	emilyleach@gmail.com	2115
1552	universidad abierta interamericana	licenciatura en administración	2020-09-22	helen	wiggins	female	72	colonia valdez	chad53@gmail.com	2115
141	universidad abierta interamericana	contador público	2020-12-21	alexis	carter	female	72	colonia alvear	daniel01@yahoo.com	5632
142	universidad abierta interamericana	ingeniería mecánica	2020-10-28	steven	tapia	male	55	el guanaco	daniel73@yahoo.com	6205
274	universidad abierta interamericana	licenciatura en artes	2020-09-13	john	holland	male	71	el guanaco	leonstephanie@hotmail.com	6205
1508	universidad abierta interamericana	licenciatura en psicología	2020-09-22	michael	pitts	male	31	el guanaco	zwilliams@gmail.com	6205
144	universidad abierta interamericana	ingeniería mecánica	2021-01-05	karen	lane	female	49	carlos tejedor	wilsonbenjamin@gmail.com	6455
146	universidad abierta interamericana	bioquímica	2020-10-13	shannon	adams	female	57	arroyo canelon	faith29@yahoo.com	1625
744	universidad abierta interamericana	licenciatura en ciencia y tecnología de alimentos	2020-10-16	cassandra	gonzalez	female	23	arroyo canelon	colleenpatterson@hotmail.com	1625
148	universidad abierta interamericana	diseño industrial	2020-09-12	justin	luna	male	61	cañadon seco	brandon58@yahoo.com	9013
573	universidad abierta interamericana	técnico para bioterios	2020-09-28	timothy	reed	male	98	cañadon seco	sherryrodriguez@gmail.com	9013
149	universidad abierta interamericana	licenciatura en musicoterapia	2020-11-18	brandon	pineda	male	44	catua	dustin07@hotmail.com	4413
151	universidad abierta interamericana	diseño industrial	2020-09-06	dominic	kemp	male	72	kilometro 77	zwolf@hotmail.com	1737
153	universidad abierta interamericana	diseño de imagen y sonido	2020-09-12	johnathan	douglas	male	38	san andres	tgilmore@yahoo.com	1651
457	universidad abierta interamericana	licenciatura en ciencias biológicas	2020-11-24	ricardo	young	male	72	san andres	jameswilliams@yahoo.com	1651
866	universidad abierta interamericana	farmacia	2020-12-29	holly	rosales	female	36	san andres	christine65@gmail.com	1651
156	universidad abierta interamericana	arquitectura	2020-12-16	william	barker	male	59	alto verde	amberbowen@yahoo.com	4608
469	universidad abierta interamericana	ingeniería en informática	2021-01-16	jenny	adams	female	53	alto verde	brianmcgee@gmail.com	4608
1720	universidad abierta interamericana	licenciatura en administración	2021-01-02	julie	bradford	female	69	alto verde	aschroeder@hotmail.com	4608
157	universidad abierta interamericana	licenciatura en ciencia política	2020-10-09	kimberly	mcdonald	female	49	garcia del rio	allenheather@hotmail.com	8162
160	universidad abierta interamericana	licenciatura en ciencias de la educación	2020-12-06	laura	mcdonald	female	64	gobernador lanusse	fcoleman@gmail.com	3376
162	universidad abierta interamericana	licenciatura en artes	2020-11-15	jessica	gilbert	female	48	bolivar	ydunn@hotmail.com	6550
