,inscription_date,birth_date,age,university,career,nombre,email,sexo,location,postal_code
15,2020-03-31,1937-06-27,,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,eric summers,mike55@gmail.com,m,aguadita,
16,2020-05-14,1995-07-20,,universidad nacional de jujuy,farmacia,anthony mitchell,tiffany87@gmail.com,m,candelaria sud,
17,2020-02-01,1930-08-30,,universidad tecnológica nacional,licenciatura en ciencias de la educación ,rachel mullins,qrhodes@hotmail.com,f,campana,
18,2019-12-26,1926-01-05,,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,stephanie lynch,williamgreen@gmail.com,f,achupallas,
19,2019-12-10,1909-07-13,,universidad nacional de jujuy,agronomía,melanie pace,laurenortega@gmail.com,f,campo la nena,
20,2020-06-26,1962-04-11,,universidad nacional de jujuy,licenciatura en ciencias antropológicas,john sanders md,george58@gmail.com,m,rafael castillo,
21,2020-01-29,2004-03-14,,universidad tecnológica nacional,medicina,anna lee,laurenvazquez@gmail.com,f,la cañada,
22,2020-04-25,2015-03-15,,universidad nacional de jujuy,ciencias veterinarias,jeffrey mason,lorifox@yahoo.com,m,frigorifico cap,
23,2020-02-01,1988-12-09,,universidad tecnológica nacional,licenciatura en administración ,megan foster,lkhan@gmail.com,f,el espinillo,
24,2019-12-12,2003-10-09,,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,patricia johnson,guylewis@hotmail.com,f,remedios de escalada,
25,2020-01-03,1964-08-06,,universidad tecnológica nacional,ingeniería mecánica,pamela castro,xmartinez@hotmail.com,f,carlos keen,
26,2020-07-27,1995-08-31,,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,yvonne farrell,jennifer31@hotmail.com,f,faro san antonio,
27,2020-01-19,1963-10-27,,universidad nacional de jujuy,licenciatura en ciencias ambientales,susan huber,tthomas@hotmail.com,f,colonia españa,
28,2020-02-28,1947-06-06,,universidad tecnológica nacional,licenciatura en psicología,jodi wilson,awilcox@hotmail.com,f,bahia cracher,
29,2019-12-03,1929-08-03,,universidad nacional de jujuy,técnico para bioterios ,phillip johnson,alanhowell@gmail.com,m,flamenco,
30,2020-04-10,1944-05-19,,universidad nacional de jujuy,contador público ,carlos white,santanamichael@yahoo.com,m,gregorio de laferrere,
31,2020-02-17,1924-07-10,,universidad nacional de jujuy,licenciatura en ciencias biológicas,joe castro,hbarron@hotmail.com,m,cora,
32,2020-06-09,1994-07-10,,universidad nacional de jujuy,bioquímica,susan ruiz,andersonsean@yahoo.com,f,alvarez,
33,2020-01-03,2019-12-03,,universidad nacional de jujuy,licenciatura en sociología ,crystal mendoza dds,catherinemata@yahoo.com,f,aguay,
34,2019-11-20,1947-06-28,,universidad tecnológica nacional,licenciatura en ciencia política ,glenda king,jgross@yahoo.com,f,ricardo lavalle,
35,2020-01-26,1920-01-11,,universidad nacional de jujuy,bioquímica,john freeman,thomas71@gmail.com,m,kilometro 77,
36,2019-10-03,1994-01-05,,universidad tecnológica nacional,bioquímica,benjamin mccarthy,zjohnson@yahoo.com,m,capitan castro,
37,2020-07-07,1959-05-05,,universidad tecnológica nacional,licenciatura en ciencia política ,nicholas cruz,jeffrey28@yahoo.com,m,barrio belgrano,
38,2020-03-19,2013-03-07,,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,karen smith,katie84@gmail.com,f,bagual,
39,2020-01-28,1915-10-01,,universidad tecnológica nacional,actuario ,kara graham,tpatterson@yahoo.com,f,ingenio la providencia,
40,2020-04-14,1964-10-10,,universidad nacional de jujuy,licenciatura en terapia ocupacional,karen ortiz,cynthia97@yahoo.com,f,el pimpollo,
41,2020-01-09,1962-04-26,,universidad tecnológica nacional,medicina,dale brown,carmen16@hotmail.com,m,coronel pringles,
42,2020-01-09,1909-03-18,,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,tasha davis,crystal78@gmail.com,f,barcala,
43,2019-11-07,1913-09-06,,universidad nacional de jujuy,licenciatura en artes,amber ryan,nterrell@gmail.com,f,abra de peñas,
44,2020-07-23,2001-08-08,,universidad tecnológica nacional,licenciatura en sociología ,scott solis,woodwardana@hotmail.com,m,alto de la leña,
45,2020-03-31,1923-03-08,,universidad tecnológica nacional,licenciatura en sociología ,kimberly taylor,corey65@gmail.com,f,campo medina,
46,2020-04-09,1998-05-17,,universidad tecnológica nacional,agronomía,scott wood,qwilson@hotmail.com,m,cachirulo,
47,2020-06-15,2006-11-16,,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,keith bass,rodgersjanice@hotmail.com,m,carlos maria naon,
48,2020-06-29,1914-08-29,,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,brian mason,masseystacy@hotmail.com,m,ingeniero allan,
49,2019-10-20,2019-09-18,,universidad nacional de jujuy,licenciatura en artes,lori moyer,william94@gmail.com,f,cangallo,
50,2020-05-11,2015-02-08,,universidad tecnológica nacional,licenciatura en ciencias antropológicas,dylan lopez,david59@hotmail.com,m,la oriental,
51,2020-05-05,2013-09-26,,universidad nacional de jujuy,licenciatura en artes,gregory goodman,wrobertson@yahoo.com,m,costa del rio azul,
52,2020-01-11,2015-08-12,,universidad tecnológica nacional,diseño de imagen y sonido,david rodriguez,donald94@gmail.com,m,cabure,
53,2020-02-21,1999-05-15,,universidad tecnológica nacional,licenciatura en artes,daniel alexander,reyestony@gmail.com,m,colonia tacurales,
54,2020-04-11,1922-05-04,,universidad tecnológica nacional,licenciatura en ciencias antropológicas,harold mitchell,sandra91@gmail.com,m,caimancito,
55,2020-03-12,1994-04-16,,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,mr. timothy adams,gnorton@yahoo.com,m,chumbicha,
56,2020-03-21,2002-06-14,,universidad tecnológica nacional,licenciatura en artes,alexis hayden,ashlee19@yahoo.com,f,chavarria,
57,2020-02-19,1914-08-10,,universidad nacional de jujuy,licenciatura en musicoterapia,jay roberts,dthomas@gmail.com,m,cañadon botello,
58,2020-02-02,1928-05-10,,universidad tecnológica nacional,diseño de imagen y sonido,matthew perez,gmunoz@hotmail.com,m,acasape,
59,2020-01-03,1993-08-17,,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,madison flores,nathanielhernandez@yahoo.com,f,la sara,
60,2020-05-29,1946-09-10,,universidad tecnológica nacional,licenciatura en ciencias de la educación ,nicholas miller,jbarajas@hotmail.com,m,cristiano muerto,
61,2020-05-24,2001-08-31,,universidad nacional de jujuy,licenciatura en ciencias de la computación,kelli ramirez,ydavis@hotmail.com,f,aparicio,
62,2019-11-14,1920-01-25,,universidad tecnológica nacional,diseño de imagen y sonido,christine salazar,evanscott@yahoo.com,f,carmen,
63,2020-02-23,1945-04-25,,universidad tecnológica nacional,licenciatura en psicología,rebekah shaw,reedjacob@yahoo.com,f,1 de mayo,
64,2020-06-05,1926-01-01,,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,bradley rogers,nkennedy@gmail.com,m,barrientos,
65,2020-05-14,1924-01-27,,universidad nacional de jujuy,farmacia,peter clayton,welchray@gmail.com,m,colonia tacurales,
66,2020-03-28,1957-06-25,,universidad tecnológica nacional,farmacia,wesley lowe,marksmith@yahoo.com,m,alvarez de toledo,
67,2020-02-09,1942-02-06,,universidad tecnológica nacional,medicina,tracey jenkins,brandontran@yahoo.com,f,villa hipodromo,
68,2020-01-29,1975-04-22,,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,dr. joshua wolfe,fsmith@gmail.com,m,coronel isleños,
69,2020-01-07,1982-01-19,,universidad tecnológica nacional,bioquímica,matthew gordon,ngutierrez@gmail.com,m,bustamante,
70,2020-02-18,2021-01-25,,universidad nacional de jujuy,licenciatura en sociología ,ashley garcia,bbrooks@hotmail.com,f,angostura,
71,2020-06-01,1944-10-14,,universidad tecnológica nacional,técnico para bioterios ,jennifer english,gutierrezshelby@hotmail.com,f,colonia berro,
72,2019-10-03,1997-05-11,,universidad tecnológica nacional,diseño de imagen y sonido,russell mcfarland,petergross@hotmail.com,m,juan maria gutierrez,
73,2019-12-11,1964-05-15,,universidad tecnológica nacional,actuario ,jeffery morgan,brandymorales@gmail.com,m,cañadon chileno,
74,2019-12-12,1944-11-14,,universidad tecnológica nacional,licenciatura en musicoterapia,james anderson,terrance37@yahoo.com,m,arroyo cahunco,
75,2019-10-02,1922-08-07,,universidad nacional de jujuy,farmacia,gabriela willis,robertslinda@gmail.com,f,aguada de las tejas,
76,2019-11-05,1961-02-11,,universidad nacional de jujuy,ingeniería mecánica,anthony martin,omartin@gmail.com,m,estacion coronel pringles,
77,2020-01-06,1919-01-29,,universidad nacional de jujuy,licenciatura en musicoterapia,marie lloyd,olsongregory@yahoo.com,f,el zorro,
78,2020-05-08,1907-01-30,,universidad tecnológica nacional,diseño industrial,dana hahn,davidjohnson@yahoo.com,f,alvarez de toledo,
79,2020-03-18,2000-08-17,,universidad tecnológica nacional,agronomía,janice yang,harrismichelle@hotmail.com,f,albariño,
80,2020-06-27,1957-09-02,,universidad tecnológica nacional,licenciatura en ciencias ambientales,matthew smith,adampayne@hotmail.com,m,nonogasta,
81,2020-02-28,1962-12-03,,universidad tecnológica nacional,licenciatura en ciencia política ,brooke stephens md,alyssafields@gmail.com,f,aldecon,
82,2020-01-28,1973-10-18,,universidad tecnológica nacional,técnico para bioterios ,pamela boone,stephanieneal@hotmail.com,f,estacion saguier,
83,2020-01-04,1992-12-07,,universidad tecnológica nacional,licenciatura en ciencias geológicas,troy harris,krista98@yahoo.com,m,arana,
84,2020-07-05,2012-10-18,,universidad tecnológica nacional,ingeniería mecánica,ms. hannah kidd,shopkins@hotmail.com,f,atalaya,
85,2019-12-15,2019-07-07,,universidad nacional de jujuy,licenciatura en sociología ,leah rhodes,lanesara@yahoo.com,f,carcaraña,
86,2020-06-05,1988-06-16,,universidad nacional de jujuy,licenciatura en sociología ,joanna smith,deanstephanie@hotmail.com,f,agua negra,
87,2020-07-21,1997-07-17,,universidad tecnológica nacional,farmacia,christine cordova,dawn65@gmail.com,f,campo huber,
88,2019-11-02,2004-10-11,,universidad tecnológica nacional,licenciatura en administración ,natalie young,patricknichols@yahoo.com,f,comandante nicanor otamendi,
89,2020-04-01,1964-02-16,,universidad tecnológica nacional,medicina,teresa richardson,heatherwade@hotmail.com,f,hospital necochea,
90,2020-02-11,1963-05-23,,universidad tecnológica nacional,licenciatura en ciencia política ,yesenia martin,jamesnguyen@hotmail.com,f,arroyo baru,
91,2019-12-07,1961-03-01,,universidad tecnológica nacional,licenciatura en terapia ocupacional,christine guzman,jennifer68@hotmail.com,f,san jose de piedra blanca,
92,2020-05-13,1968-09-26,,universidad nacional de jujuy,arquitectura,lisa leach,fkelly@yahoo.com,f,9 de julio,
93,2019-10-10,1905-12-03,,universidad tecnológica nacional,licenciatura en producción de bioimagenes,christine martin,alex53@gmail.com,f,campo moreno,
94,2020-02-11,2017-03-11,,universidad nacional de jujuy,licenciatura en terapia ocupacional,dorothy smith,georgephillips@yahoo.com,f,general san martin,
95,2019-12-10,2008-11-05,,universidad nacional de jujuy,farmacia,vanessa jimenez,herrerasierra@hotmail.com,f,alpasinche,
96,2020-01-31,1922-12-29,,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,lauren marquez,kingmargaret@yahoo.com,f,villa ruiz,
97,2019-10-02,2008-11-27,,universidad nacional de jujuy,ingeniería en informática,natasha williams,daniel81@hotmail.com,f,aguada,
98,2020-01-28,2007-07-30,,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,thomas white,nicholasmiller@hotmail.com,m,algarrobal,
99,2020-07-06,1978-10-05,,universidad nacional de jujuy,licenciatura en sociología ,chad delgado,tvincent@gmail.com,m,bajo de los sueldos,
100,2020-02-22,1972-07-09,,universidad nacional de jujuy,licenciatura en psicología,william lane,julia71@hotmail.com,m,chapaleufu,
101,2020-01-08,2021-02-28,,universidad nacional de jujuy,ingeniería mecánica,fernando morse,rgarcia@hotmail.com,m,huanguelen,
102,2020-06-10,1950-06-22,,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,rebecca martin,campbellangela@hotmail.com,f,aguada a pique,
103,2020-03-09,1932-07-07,,universidad nacional de jujuy,medicina,beverly morales,millerjeffrey@hotmail.com,f,alcete,
104,2020-05-03,1960-04-13,,universidad tecnológica nacional,licenciatura en terapia ocupacional,robert mclaughlin,thomasamanda@yahoo.com,m,colonia mackinlay,
105,2020-03-14,1914-04-15,,universidad tecnológica nacional,licenciatura en producción de bioimagenes,jodi robbins,annettejackson@gmail.com,f,castelar,
106,2019-10-15,1915-09-12,,universidad tecnológica nacional,ingeniería mecánica,christopher moore,jessicarivera@gmail.com,m,alicura,
107,2020-02-16,1988-04-15,,universidad nacional de jujuy,licenciatura en administración ,joshua benson,emilylogan@yahoo.com,m,cheroguita,
108,2020-03-22,2008-12-05,,universidad nacional de jujuy,arquitectura,robert stevens,nelsonpatrick@yahoo.com,m,colonia montefiore,
109,2020-05-29,1934-12-02,,universidad tecnológica nacional,diseño industrial,roger goodwin,melissa17@gmail.com,m,casimiro gomez,
110,2019-11-28,1930-01-01,,universidad nacional de jujuy,licenciatura en ciencias de la educación ,benjamin hoffman,renee98@gmail.com,m,plomer,
111,2019-10-28,2019-02-17,,universidad nacional de jujuy,licenciatura en ciencias geológicas,brett mitchell,vbutler@hotmail.com,m,arroyo aguila negra,
112,2019-12-29,1919-08-26,,universidad tecnológica nacional,licenciatura en administración ,james thompson,matthewhamilton@hotmail.com,m,arroyo vega,
113,2020-07-10,1988-08-13,,universidad tecnológica nacional,ingeniería en informática,derek mcconnell,bruce10@gmail.com,m,amenabar,
114,2020-03-18,2016-08-23,,universidad tecnológica nacional,diseño industrial,christopher harris dvm,melissajackson@yahoo.com,m,pazos kanki,
115,2020-06-25,1965-03-15,,universidad nacional de jujuy,licenciatura en ciencias de la computación,angela curry,alec36@yahoo.com,f,san fernando,
116,2020-05-25,1941-10-09,,universidad nacional de jujuy,licenciatura en ciencias ambientales,susan salas,jaclynpatterson@gmail.com,f,el jaguel,
117,2019-10-19,1992-09-04,,universidad tecnológica nacional,licenciatura en ciencia política ,william stewart,jose02@yahoo.com,m,capitan lazo,
118,2019-10-01,1936-07-31,,universidad tecnológica nacional,arquitectura,david morris,bradleymills@yahoo.com,m,bernardo de irigoyen,
119,2020-07-01,1976-03-03,,universidad nacional de jujuy,ingeniería electrónica,joy wood,bford@yahoo.com,f,colonia belgrano,
120,2020-03-20,1987-04-25,,universidad nacional de jujuy,actuario ,luke king,cody72@yahoo.com,m,arroyo san juan,
121,2019-11-05,1969-05-19,,universidad nacional de jujuy,agronomía,michael robinson,joseph81@gmail.com,m,fortin irene,
122,2020-03-21,1982-05-20,,universidad tecnológica nacional,diseño industrial,jason walsh,uchambers@yahoo.com,m,baldes de pacheco,
123,2020-05-28,2017-03-01,,universidad tecnológica nacional,diseño de imagen y sonido,bryan thompson,wphillips@gmail.com,m,agua de dionisio,
124,2019-10-09,1997-11-14,,universidad nacional de jujuy,licenciatura en terapia ocupacional,kristen henderson,graymond@hotmail.com,f,campo peña lopez,
125,2020-07-12,1994-09-11,,universidad nacional de jujuy,arquitectura,caroline shaw,williamsjon@yahoo.com,f,barrio garin norte,
126,2020-01-28,1918-05-26,,universidad tecnológica nacional,licenciatura en ciencias geológicas,haley fox,opope@gmail.com,f,coliqueo,
127,2020-02-01,1978-11-11,,universidad tecnológica nacional,licenciatura en ciencia política ,kimberly harper,nperry@gmail.com,f,apoyaco,
128,2020-02-20,1999-08-01,,universidad tecnológica nacional,licenciatura en ciencias biológicas,ms. alison cervantes,phillip66@gmail.com,f,jose leon suarez,
129,2020-06-23,1932-11-24,,universidad tecnológica nacional,farmacia,adrian howell,cesar45@hotmail.com,m,campo el mataco,
130,2020-04-29,2004-03-21,,universidad tecnológica nacional,técnico para bioterios ,haley stone,ndudley@hotmail.com,f,almirante brown,
131,2020-02-10,2014-03-07,,universidad nacional de jujuy,ciencias veterinarias,kara christian,lewisallison@hotmail.com,f,manuel ocampo,
132,2020-01-12,1925-05-16,,universidad tecnológica nacional,contador público ,shaun murray,eric83@gmail.com,m,barrio la dolly,
133,2019-11-12,1998-01-15,,universidad tecnológica nacional,licenciatura en psicología,lisa ray,vadams@yahoo.com,f,cabral cue,
134,2020-05-27,1911-08-05,,universidad nacional de jujuy,ingeniería mecánica,hannah burgess,jessicadennis@hotmail.com,f,baños pismanta,
135,2020-02-03,1985-11-27,,universidad nacional de jujuy,farmacia,jillian kidd,fmendoza@gmail.com,f,agua verde,
136,2020-04-15,1977-09-24,,universidad tecnológica nacional,licenciatura en ciencias biológicas,steven gonzales dvm,williamsbill@hotmail.com,m,paso del rey,
137,2020-02-12,2007-05-12,,universidad nacional de jujuy,licenciatura en terapia ocupacional,tanya johnson,eric82@hotmail.com,f,llavallol,
138,2019-12-08,1941-09-29,,universidad tecnológica nacional,diseño industrial,paul mata,psnyder@yahoo.com,m,campo pesoa,
139,2019-10-27,1933-11-14,,universidad nacional de jujuy,ingeniería mecánica,christopher anderson,troyvillanueva@gmail.com,m,general rojo,
140,2020-04-17,1991-04-14,,universidad tecnológica nacional,licenciatura en ciencias biológicas,gary dyer,davisjason@yahoo.com,m,colonia ensanche sauce,
141,2020-01-08,1987-11-30,,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,victor burns,vanessa05@gmail.com,m,grutly,
142,2020-05-24,2017-03-17,,universidad nacional de jujuy,licenciatura en ciencias ambientales,chelsea dunn,philipyork@gmail.com,f,bahia san blas,
143,2019-11-04,2016-06-01,,universidad tecnológica nacional,técnico para bioterios ,jerry lopez,jobrien@yahoo.com,m,albardon,
144,2020-03-15,2016-08-03,,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,paula davis,sluna@hotmail.com,f,barrio 1 de mayo,
145,2020-01-21,1908-07-20,,universidad nacional de jujuy,ciencias veterinarias,edgar lewis,sandralopez@gmail.com,m,porvenir,
146,2020-01-16,1908-11-18,,universidad tecnológica nacional,ingeniería electrónica,sherry lopez,garyhernandez@gmail.com,f,caminera samborombon,
147,2019-11-22,1954-05-02,,universidad tecnológica nacional,actuario ,daniel fitzgerald,hartmanmichael@hotmail.com,m,cascada los cantaros,
148,2019-12-09,1931-05-31,,universidad tecnológica nacional,licenciatura en psicología,andrea lee,denisevaldez@gmail.com,f,ricardone,
149,2019-12-30,2008-06-21,,universidad nacional de jujuy,diseño de imagen y sonido,alyssa salazar,brookenguyen@hotmail.com,f,el porvenir,
150,2020-05-14,1997-08-03,,universidad tecnológica nacional,farmacia,michelle barker,johnsonstephanie@yahoo.com,f,agua seballe,
151,2020-02-10,1969-01-05,,universidad tecnológica nacional,ingeniería electrónica,samantha jackson,kaylacardenas@yahoo.com,f,bernardo larroude,
152,2020-05-04,1916-02-10,,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,kelly williamson,devon31@gmail.com,f,aparzo,
153,2019-10-21,1989-01-20,,universidad nacional de jujuy,licenciatura en ciencias de la educación ,regina lane,wyattjudy@gmail.com,f,gomez,
154,2019-12-30,1967-08-30,,universidad nacional de jujuy,licenciatura en ciencias ambientales,monica patterson,alexa42@yahoo.com,f,barrio lencina,
155,2020-01-27,1946-11-11,,universidad tecnológica nacional,contador público ,erica rodriguez,henryhopkins@yahoo.com,f,el altillo,
156,2019-12-22,1921-10-11,,universidad tecnológica nacional,licenciatura en terapia ocupacional,reginald ross,renee88@hotmail.com,m,cervantes,
157,2019-12-08,1976-10-31,,universidad nacional de jujuy,ingeniería electrónica,peter smith,nicholas77@gmail.com,m,base aeronaval cmte espora,
158,2019-12-24,1944-04-21,,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,kirk saunders,audreyduran@yahoo.com,m,cataratas del iguazu,
159,2020-05-21,1940-01-15,,universidad nacional de jujuy,licenciatura en ciencia política ,ashley gonzales,nsmith@hotmail.com,f,ayacucho,
160,2019-10-23,2007-03-08,,universidad nacional de jujuy,farmacia,andrea pearson,cynthiastanley@gmail.com,f,cañadon botello,
161,2020-02-04,1994-09-05,,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,kristin velasquez,jessemendez@yahoo.com,f,gobernador roca,
162,2020-07-29,1929-06-09,,universidad nacional de jujuy,licenciatura en psicología,steve zavala,steventaylor@yahoo.com,m,coronel pringles,
163,2020-05-27,1921-09-10,,universidad nacional de jujuy,licenciatura en sociología ,john fischer,bernardjames@hotmail.com,m,america unida,
164,2020-07-24,1930-04-12,,universidad tecnológica nacional,ingeniería mecánica,jody sullivan,maurice04@gmail.com,f,alto de leiva,
165,2019-11-18,1992-02-10,,universidad tecnológica nacional,licenciatura en administración ,sean clark,angelahenderson@gmail.com,m,matheu,
166,2020-02-29,1958-06-10,,universidad tecnológica nacional,farmacia,john cervantes,hendersonkathryn@gmail.com,m,empalme san carlos,
167,2019-10-06,1918-11-30,,universidad nacional de jujuy,licenciatura en musicoterapia,catherine ellis,lrobinson@yahoo.com,f,san jose,
168,2020-04-11,1971-10-09,,universidad nacional de jujuy,licenciatura en ciencias biológicas,james torres,reedadam@gmail.com,m,erezcano,
169,2020-07-19,1915-07-29,,universidad tecnológica nacional,licenciatura en producción de bioimagenes,tracy bell,webbkayla@hotmail.com,f,colonia jauregui,
170,2020-03-02,1931-01-02,,universidad nacional de jujuy,licenciatura en ciencias geológicas,bobby fisher,christopherallen@yahoo.com,m,carcaraña,
171,2019-10-18,1986-01-08,,universidad tecnológica nacional,licenciatura en ciencias ambientales,victor williams,solisandrea@gmail.com,m,blanca grande,
172,2020-07-12,2003-04-25,,universidad tecnológica nacional,diseño industrial,brian gutierrez,connor98@gmail.com,m,la torrecita,
173,2020-03-12,1967-01-13,,universidad nacional de jujuy,licenciatura en ciencias geológicas,carolyn turner,darius19@gmail.com,f,catinzaco,
174,2020-05-14,2019-06-06,,universidad tecnológica nacional,licenciatura en ciencias de la computación,erik miranda,dorothy12@yahoo.com,m,francisco alvarez,
175,2020-04-14,2000-01-01,,universidad nacional de jujuy,licenciatura en ciencias antropológicas,stephen garcia,flemingcheryl@yahoo.com,m,firmat,
176,2020-03-11,1971-03-31,,universidad tecnológica nacional,ingeniería mecánica,terry mills,stephen26@yahoo.com,m,cevil grande,
177,2020-04-19,1956-05-05,,universidad nacional de jujuy,licenciatura en ciencias de la educación ,howard ross,rachellee@yahoo.com,m,general hornos,
178,2020-04-11,1924-03-21,,universidad nacional de jujuy,medicina,angelica castro,tcrane@gmail.com,f,castilla,
179,2020-02-15,1921-09-09,,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,julie thomas,danielhooper@hotmail.com,f,cristolia,
180,2020-01-14,1911-12-04,,universidad nacional de jujuy,licenciatura en musicoterapia,catherine parks,susan78@yahoo.com,f,caracoles,
181,2020-06-20,1919-10-30,,universidad tecnológica nacional,arquitectura,brandon clark,shawnrusso@hotmail.com,m,funke,
182,2020-02-07,1932-07-29,,universidad tecnológica nacional,licenciatura en ciencias ambientales,vanessa davenport,robertreynolds@yahoo.com,f,argentina belvedere,
183,2020-04-10,1913-09-17,,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,alexander ware,daniel12@hotmail.com,m,el araza,
184,2020-07-25,1992-04-02,,universidad nacional de jujuy,licenciatura en ciencias ambientales,daniel harrell,ppierce@gmail.com,m,arroyo el mocho,
185,2019-12-29,1924-09-17,,universidad tecnológica nacional,licenciatura en administración ,jake haynes,cindysmith@hotmail.com,m,aparicio cue,
186,2019-11-15,2019-06-23,,universidad nacional de jujuy,licenciatura en sociología ,rebekah owens,aliciagarcia@gmail.com,f,alto pencoso,
187,2020-06-11,1988-10-24,,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,anna phillips,pbrowning@yahoo.com,f,haras san jacinto,
188,2020-03-27,1931-05-17,,universidad nacional de jujuy,licenciatura en psicología,kristen hall,andrea56@yahoo.com,f,guamini,
189,2020-06-11,1972-05-07,,universidad tecnológica nacional,bioquímica,michael vazquez,wilcoxkiara@hotmail.com,m,domselaar,
190,2019-10-10,1945-10-08,,universidad tecnológica nacional,licenciatura en ciencias de la educación ,matthew davis,omyers@hotmail.com,m,abra de pives,
191,2020-05-10,1953-02-26,,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,dominique maldonado,cynthia52@hotmail.com,f,alto verde,
192,2019-12-12,1987-04-01,,universidad nacional de jujuy,ingeniería electrónica,linda garrett,charleshamilton@hotmail.com,f,bajo las tunas,
193,2020-02-09,1972-01-26,,universidad nacional de jujuy,diseño industrial,amanda cole,josephobrien@gmail.com,f,colonia zambungo,
194,2020-05-30,1977-01-17,,universidad nacional de jujuy,diseño de imagen y sonido,alyssa daniel,rbennett@gmail.com,f,acheral,
195,2019-11-12,1914-10-22,,universidad tecnológica nacional,farmacia,curtis nunez,johnsonshannon@gmail.com,m,catamontaña,
196,2020-03-17,1968-05-31,,universidad nacional de jujuy,contador público ,bradley ashley,xstephens@hotmail.com,m,gobernador lanusse,
197,2020-03-17,1963-11-23,,universidad nacional de jujuy,licenciatura en psicología,christina cervantes,baldwinstephanie@yahoo.com,f,dos hermanas,
198,2020-02-22,1938-09-08,,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,kayla andersen,rogerrichards@gmail.com,f,campo de galnasi,
199,2019-10-20,1986-11-24,,universidad tecnológica nacional,diseño industrial,sharon hendricks,garciajamie@hotmail.com,f,colonia freitas,
200,2020-02-23,1923-04-07,,universidad tecnológica nacional,licenciatura en ciencias biológicas,megan black,gwilliams@hotmail.com,f,aldao,
201,2019-12-18,1931-03-07,,universidad nacional de jujuy,actuario ,jeffery howell dds,craig75@yahoo.com,m,alvarez,
